twitter_id,name,created_at,text
1338093408204763137,HeatherHegedus,12/13/20,"'HAPPENING NOW: live on @boston25, the first shipments of the @pfizer #COVID19 vaccine are going out this morning. T… https://t.co/qMvTfqmX9m'"
1338093413296697345,Nokashe,12/13/20,"'As somebody who works in the healthcare industry, i truly do fear of these next few months.'"
1338093413829373954,viralvideovlogs,12/13/20,'RT @StefanieBolzen: Breaking: Germany goes into hard #Covid19 lockdown from December 16 to January 10 @welt https://t.co/TNAah6WGma'
1338093414454333442,Covid19DN,12/13/20,'Why people fail to quarantine during Christmas | COVID-19 Special https://t.co/Pf1H0km1Gk #covid19 #coronavirus… https://t.co/cXPtNMP3A4'
1338093415679086595,iPythonistaBot,12/13/20,'RT @HarbRimah: Automation firms are bullish about 2021 growth prospects https://t.co/7IsAfkHOBj #MachineLearning #DataScience #Python #AI #…'
1338093417507610625,ParkyRanger,12/13/20,"'RT @jedipadmaster: Gov MS says some kind words about #CharliePride passing , on his fb page. Good, Mr. Pride deserves that. Tate failed to…'"
1338093420078800896,YAN_YAN1206,12/13/20,"'RT @heart_jing: face to this epidemic, which threatens the security of all mankind, unity and cooperation are the most powerful weapons to…'"
1338093421370675207,IoT_Technojeder,12/13/20,'RT @HarbRimah: TOP 10 MACHINE LEARNING STARTUPS OF 2020 https://t.co/i1kGEXxeTH   #MachineLearning #DataScience #Python #AI #100DaysOfCode…'
1338093423212056576,AndrewJMullen,12/13/20,"'Covid19: UK v Spain, France &amp; Italy [cases (inc,%inc); deaths (); mortality]:- 12/12 (Lack of data on France &amp; Ital… https://t.co/ZTxcoDJvDS'"
1338093426793963520,InfectiousPS,12/13/20,"'RT @apsmunro: It's time to clarify some things about children, schools and #COVID19 🧵  Summary: Young children seem significantly less susc…'"
1338093428928876544,CentristRn,12/13/20,"'RT @CentristRn: @MariessaDevlin Hi,😱😢🔽 🚨❤PLEASE HELP IF YOU CAN! ❤🚨⏩DONATE/SHARE😢😷 🏥⏬⤵😷🚨COVID19 RN DENTURE..TYSM!!❤💕💓https://t.co/9kQCmxDdR…'"
1338093435178323969,lawfulwoman,12/13/20,"'RT @robinmonotti: JAPAN'S COVID19 MORTALITY IS THE LOWEST IN THE WORLD, IT NEVER HAD A LOCKDOWN &amp; TRANSMISSION IS RAMPANT &gt;50%. THIS IS WHY…'"
1338093448902139909,BettyGG,12/13/20,'RT @MayorDaniella: Today’s #COVID19 dashboard: https://t.co/vy3UsEPjbV  ↔️ Daily positive rate: 8.17%  ↔️ 4‐day average: 8.88%  ⬆️ @Jackson…'
1338093451913687040,s19928362,12/13/20,'RT @DrFNA: I want to share my story with you; I think given my last post it is important. I am a participant in a Phase 3 clinical trial fo…'
1338093454140780545,valuesdoc,12/13/20,'I've just been hit with a £5 PPE charge for a service. Has anyone else been charged something like that by a busine… https://t.co/M5xuW4S60v'
1338093455424311304,PhaethonTweets,12/13/20,"'Yesterday's supermarket sweep (Week 17, @Tesco only this week): As London teeters on the brink of Tier 3 lockdown,… https://t.co/S1zungAnil'"
1338093459584913408,lemonadeboy10,12/13/20,'RT @WHOWPRO: #COVID19 confirmed cases and deaths reported by countries and areas in the @WHO Western Pacific Region over the past 24 hours.…'
1338093467780718594,AndrewJMullen,12/13/20,"'Covid19: UK v Spain, France &amp; Italy [cases (inc,%inc); deaths (); mortality]:- UK(6): 1830957 (+21502, 1.19%); 6402… https://t.co/FN2dC3LUoI'"
1338093480833413120,WeAreBharat,12/13/20,'In Bharat! https://t.co/pCD83gAnH3 Stories via @AsmiSohm @VincentMartha #reup #covid19'
1338093483626729473,look4goodinppl,12/13/20,'RT @DrEricDing: Florida man...  ...pays for the overdue utility bills of 114 local residents with next bills due on day after Christmas.…'
1338093484151087106,DrSaqlainSh,12/13/20,"'Defying all sanity in this pandemic, the #PDM fools are risking people's lives for their vested interests.… https://t.co/scNZfvbUR1'"
1338093484524380161,me10He,12/13/20,"'RT @watchfulwatcher: ""Can someone explain to me why a peer reviewed study in an internationally acclaimed journal that shows 84% reduction…'"
1338093488773148674,KatieKidle,12/13/20,'Really helpful perspective on the vaccine experience. 👇'
1338093493978345473,YPopulist,12/13/20,"'RT @OffGuardian0: How many of those 4.4 million awaiting tests, treatment or surgery will die before they get to the top of the list?  Many…'"
1338093501419020289,DJTTruth,12/13/20,"'RT @svmurthy: ETHealthworld | ‘No one can speed up vaccine trials, and their evaluation’ #Covid19Vaccine #Hyderabad #VaccinesTrails #Vaccin…'"
1338093502073241602,PitambarMudul15,12/13/20,'RT @CMO_Odisha: CM underscored how #Odisha has developed end-to-end online systems for over 30 Government to Business services to reduce re…'
1338093502358556672,Gambiste1,12/13/20,'RT @WolfOfCovid19: $RDHL tell me this isn’t 🔥   #covid19  https://t.co/FVpkBGdsX0'
1338093504740818944,Jstaffjr,12/13/20,"'ISG didn't predict the pandemic, but we did predict many of the #digital workplace trends that were accelerated by… https://t.co/RRluQGLFET'"
1338093508159303681,BrajkovicDb,12/13/20,"'As A Educator I wear my mask 😷 every day! , wash my hands and social distancing this . Message is for everyone. Not… https://t.co/2vI0OECnOK'"
1338093509237202945,lcracraft,12/13/20,"'RT @KHNews: When it comes to public messaging about #COVID19, KHN's @RosenthalHealth said Mister Rogers-type nice isn’t working in many par…'"
