,twitter_id,name,created_at,text
55,1338093455424311304,PhaethonTweets,12/13/20,yesterdays supermarket sweep week 17  only this week as london teeters on the brink of tier 3 lockdown 
56,1338093459584913408,lemonadeboy10,12/13/20,rt  covid19 confirmed cases and deaths reported by countries and areas in the  western pacific region over the past 24 hours
57,1338093467780718594,AndrewJMullen,12/13/20,covid19 uk v spain france amp italy cases incinc deaths  mortality uk6 1830957 21502 119 6402 
58,1338093480833413120,WeAreBharat,12/13/20,in bharat  stories via   reup covid19
59,1338093483626729473,look4goodinppl,12/13/20,rt  florida man  pays for the overdue utility bills of 114 local residents with next bills due on day after christmas
60,1338093484151087106,DrSaqlainSh,12/13/20,defying all sanity in this pandemic the pdm fools are risking peoples lives for their vested interests 
61,1338093484524380161,me10He,12/13/20,rt  can someone explain to me why a peer reviewed study in an internationally acclaimed journal that shows 84 reduction
62,1338093488773148674,KatieKidle,12/13/20,really helpful perspective on the vaccine experience 
63,1338093493978345473,YPopulist,12/13/20,rt  how many of those 44 million awaiting tests treatment or surgery will die before they get to the top of the list  many
64,1338093501419020289,DJTTruth,12/13/20,rt  ethealthworld  no one can speed up vaccine trials and their evaluation covid19vaccine hyderabad vaccinestrails vaccin
65,1338093502073241602,PitambarMudul15,12/13/20,rt odisha cm underscored how odisha has developed endtoend online systems for over 30 government to business services to reduce re
66,1338093502358556672,Gambiste1,12/13/20,rt  rdhl tell me this isnt    covid19  
67,1338093504740818944,Jstaffjr,12/13/20,isg didnt predict the pandemic but we did predict many of the digital workplace trends that were accelerated by 
68,1338093508159303681,BrajkovicDb,12/13/20,as a educator i wear my mask  every day  wash my hands and social distancing this  message is for everyone not 
69,1338093509237202945,lcracraft,12/13/20,rt  when it comes to public messaging about covid19 khns  said mister rogerstype nice isnt working in many par
70,1338093510482911232,AKApella23,12/13/20,rt  audrey ellis 29yo transplant rn uc downtown denver hospital   died of covid19 cardiac damage 322 she loved life irish d
71,1338093510738780163,darhar981,12/13/20,rt  well hummmm ahem oo 1 year anniversary of first dx case of wuhanvirus corona covid19 in wuhan china  76 day
72,1338093512328417282,_alpalllll,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
73,1338093512320020482,wilsonrharvey,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
74,1338093514228424706,Dawnmist723,12/13/20,this is sickening
75,1338093522797334528,GordonHill1,12/13/20,rt michael pls share  if you experience signs of stroke ring 999 immediately think fast   f  face a  arm s  speech t  time
76,1338093524647075840,beachpeadesign,12/13/20,rt  freedom of information request to the nhs reveals that no one without any preexisting medical conditions has died from co
77,1338093526639398912,pattio831,12/13/20,rt  deadline extended application window for the s ppe access program has been extended to december 17th  small
78,1338093527318802434,CastonChris,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
79,1338093527973163008,Miss_Placed_,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
80,1338093532142252032,SimLip,12/13/20,polluters want to use covid19 to kill climate ambition but 3 powerful women   amp  
81,1338093536823152642,homoapis,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
82,1338093537481658368,drsumitgupta,12/13/20,rt  icymi first nejmcpc featuring radiologist as primary discussant case 252020 47w with lung mass hint not what you
83,1338093546038038528,ProfAJChalmers,12/13/20,thanks   an excellent and speedy piece of work by  with help from   it explains why w 
84,1338093550710398976,Gangesh83599095,12/13/20,rt  endeavoring to minimize disruption to breastcancer screening and detection during covid19149 healthcare providers of khor
85,1338093551054442499,AnnieMcCann20,12/13/20,rt   its been 5yrs since 197 governments made a pledge to keep global heating under 15c   they failed to act   instead
86,1338093561028489218,Miss_Placed_,12/13/20,rt   if a marathonrunning 29year old nurse can die of covid19 anybody can   please mask up distance ventilate the airb
87,1338093561917534209,OperationRedrum,12/13/20,rt  rothschild  2015  just how novel was covid19  
88,1338093567642918913,thewritingDJ,12/13/20,lone walk with a camera man in saner climes hed upload a selfie not this arsenal christmas ad
89,1338093584021647360,jesslynhenry,12/13/20,rt  these numbers are steadily going up 15 of primary and 53 of secondary schools have cases of covid19 isupportclaremorr
90,1338093591080693761,MorobadiK,12/13/20,rt  the covid19 promo is back againunfollow those opinion whores called influencers
91,1338093592515137538,BehtarIran,12/13/20,rt true 7451 new cases have tested positive for coronavirus in the past 24 hours in iran while 247 have died of covid19 islamic
92,1338093593169367043,VanessaPather,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
93,1338093593454587904,BurtsBikeBits,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
94,1338093595321053187,Iam_skulboysky,12/13/20,rt  photos covid cant hold lagos down   embarks on lone walk  thecable   covid19 htt
95,1338093605714583552,KaptainSwizzy,12/13/20,rt  man shall not live by bread alone  this is more than bread   kingod the ep   anthonyjoshua 
96,1338093608780623872,FreeSpeech_0,12/13/20,rt     boris johnson took full charge of the uk covid19 crisis about five times amp the re
97,1338093623062171649,Kelleymangold1,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
98,1338093624781836288,Sarcastalot5,12/13/20,rt  im asking for help this year to get my family some gifts for christmas  im unemployed thanks to covid19 and want
99,1338093630301622277,CedawPT,12/13/20,rt kohli   covid19 disproportionately impacts women amp girls rising intimate partner violence sexual violencechil
100,1338093634688868354,bitcoinconnect,12/13/20,walmart target and best buy are closed on thanksgiving day heres where you can get black friday deals online ins 
101,1338093643106697216,Sheridan543,12/13/20,rt  not so nice once covid19 infects more and more of their community terrible horrible no good very bad leadership 
102,1338093643282964480,matthewtegha,12/13/20,covid19 nigeria records 617 new cases of coronavirus  
103,1338093647657578499,konaandekongh,12/13/20,rt  audrey ellis 29yo transplant rn uc downtown denver hospital   died of covid19 cardiac damage 322 she loved life irish d
104,1338093648177553409,sumitja40322472,12/13/20,rt  medical assistance provided by indianarmy to the people of rafiabad north kashmir amidst covid19 pandemic jaihind ht
105,1338093653122633733,DhlExpressMY,12/13/20,employee safety is the top priority for leaders frank appel ceo of  parent company deutsche post fo 
106,1338093653370294275,Wojtyr,12/13/20,rt  1 updated thread on children amp covid19 summarising recent research  summary further evidence children and adults are eq
107,1338093654049771523,doc_namrah,12/13/20,rt  covid19 update ict 279 new cases against 5965 samples with positivity rate of 467 the main concern this time is positi
108,1338093663038054412,Ron98604479,12/13/20,rt  this is a brazen violation of the mcc by the fm seeking to influence bihar electorate with promise of free covid vaccin
